No.,２．内容・教え方・テキストについて,３．学んだこと・気づき・心がけ・知ったこと
1,青森県社会経済白書を研修で初めて読んで、自分が普段の生活でなんとなく感じていることにまつわるデータがグラフで可視化されており、興味深かった。グラフの作成演習では、テキストにエクセルの操作手順が細かく記載されていて操作に不慣れな自分でもグラフを完成させられた。わからないことがあっても補助の方が複数人いて声をかけやすかった。,データ収集の手順のような基本的なことを学ぶことができ、また、演習を通じて、集めたデータから地域課題を可視化することをを体験できた。今後、提案をするときなどは、データ分析の手法を用いた説得力のある説明を心がけけたい。
2,特に地域課題の可視化とEBPMはグループワークも含めておもしろかったですが、理解できていない部分も多かったのでもっとここに時間を割いていただいてもいいのかなと思いました。,グラフ作成、重回帰分析は取り入れられる気もしたのでとりあえずチャレンジしていこうとおもいます。
3,・最後の相関関係の演習は、非常に実践的でためになりました。メンバー同士で分析方法や着眼点についてより深く議論したかったため、午後をすべて演習に充てるなど、時間を長めに確保していただけると嬉しいです。その分、午前の経済白書の講義パートを短縮しても良いかと思います。・グラフを多用する白黒資料のため、講師の方が「このグラフの青い部分～」とおっしゃっても色の識別ができず、スクリーンだと見えにくいこともあり、経済白書のカラーのグラフを探している間に講義を聞き逃してしまうことがありました。研修の性質上、資料はカラーでご提供（または事前データ共有）いただけると、より理解が深まると思います。,複合グラフの作り方がとても勉強になりました。細かなテクニックまで教えてくださったので、今後業務に活用していきたいです。
4,・「１.青森県社会経済白書で見る本件の現状」の配付資料はグラフが多いのでカラーにしてほしかった。（資料だけではグラフと凡例との見比べが非常に難しい）・「１.青森県社会経済白書で見る本件の現状」の講義内容は折角勉強になる良い内容ばかりだったが、講師の説明スピードが早く、メモが追いついていない受講生が周りにたくさん居た。スライド毎に一拍“間(ま)”を入れるなど、もう少し配慮があれば良かった。,・「３.地域課題の可視化とEBPM」では大字・小字ごとの人口推計（集落ごとの世帯状況）、コーホート人口推計が今後の業務に活かせそう。非常に参考になった。
5,もう少し演習の時間があれば嬉しいなと思いました。テキストの内容に関してはわかりやすく、演習のときも参考にしながら進めることができました。,今後資料を作成する際に必要となる根拠をどこから持ってきたら良いか、また、その根拠の探し方などを学ぶことができました。感覚や聞いたことがある、というのを根拠にせず、しっかり調べてデータを集めた上で提示できるようにしていきたいです。
6,【研修内容】1日を通してインプットしたことを最後にアウトプットする流れが理解につながってよかった。社会経済白書の講義と統計データ収集と可視化の時間が長く感じたため、その分の時間をEBPMの説明に充てるとよりよいと感じた。e-statや青い森オープンデータカタログの存在は知っていたが、ファイルとDBの違いなど検索方法のほかにより詳細な使い方が分かればよりよかった。【資料について】社会経済白書の資料は白黒印刷のためグラフを確認しづらかった。白書本体のページを確認しながら講義を受けた。,Excelの棒グラフの合計値の表示方法や複合グラフの作り方を初めて知ることができた。今の部署で作成している資料は表にとどまりグラフを作って来なかったが、今日学んだ知識を使って相手により伝わりやすいように可視化してみたいと思った。地域課題の可視化の講義では、「町の祭りを継続することが最善の策なのか」という問を投げかけられ、はじめは少し冷たい印象を持ったが、目的に応じてあくまでデータに基づいて考えるというEBPMの基本的な考え方に気づくことができた。
7,最後の演習はもう少し時間があってもよかった。,研修の名称を変えた方がよい
8,最後の演習にもう少し時間をとってもよかったのではと思った。研修名もEBPMの文言を入れてもいいと思う。,データ分析やそれを利用して事業に活かすことを心掛けていきたい
9,第三部で取り扱った相関の内容や使い方についてもっと教えていただきたかったです。,Excelを操作して重回帰分析する方法を理解し、t値とp値を見てデータが統計的に優位か判断することを学びました。
10,実際に青森県の統計データを活かして、どのような仕事に使われているかという説明があれば、より統計データの分析をする意味への理解が深まったと感じた。,仕事をしていく上でEBPMは大事なことなので、とくにエビデンスの部分は大切にして今後の業務に活かしていきたい。
11,講師の話すスピード速く、メモするとついていけない時がありました。分からない事項を質問する時間がなかったので、質問や受講者と意見交換する時間を設定してほしかったです。,普段何気なく読んでいるデータの意味や見せ方のテクニックについて、これまでは特に意識していなかったが、今後は意識的に取り組むことにしたい。
